witness,year,idx,id,raw_id,is_kalend,n_words,SCOT,SCOT_AMBIG,INSULAR,MIDLAND,MUNSTER,TERRITORY,IONA,sha1
AT,1145,4,AT1145.4,T1145.4,0,26,0,0,0,0,0,0,0,3757e08d9d2c
AT,1145,5,AT1145.5,T1145.5,0,45,0,0,0,0,0,0,0,618277012bf4
AT,1145,6,AT1145.6,T1145.6,0,12,0,0,0,0,0,0,0,5fe984201b99
AT,1145,7,AT1145.7,T1145.7,0,14,0,0,0,0,0,0,0,2c41a17a713d
AT,1145,8,AT1145.8,T1145.8,0,29,0,0,0,0,0,0,0,5ab2f3f30605
AT,1145,9,AT1145.9,T1145.9,0,34,0,0,0,0,0,0,0,e8b599072641
AT,1145,10,AT1145.10,T1145.10,0,8,0,0,0,0,0,0,0,8e999cb98a69
AT,1146,0,AT1146.0,T1146.0,1,16,0,0,0,0,0,0,0,2c344ab35ae1
AT,1146,1,AT1146.1,T1146.1,0,75,0,0,0,0,0,0,0,0d3e88a067c9
AT,1146,2,AT1146.2,T1146.2,0,8,0,0,0,0,0,0,0,5e1ef9c8fb53
AT,1146,3,AT1146.3,T1146.3,0,13,0,0,0,0,0,0,0,6098c3a9f0d6
AT,1146,4,AT1146.4,T1146.4,0,5,0,0,0,0,0,0,0,782b8c71866b
AT,1146,5,AT1146.5,T1146.5,0,53,0,0,0,0,0,0,0,fcd067b26820
AT,1146,6,AT1146.6,T1146.6,0,63,0,0,0,0,0,0,0,c937ec027ad4
AT,1146,7,AT1146.7,T1146.7,0,17,0,0,0,0,0,0,0,7751a173096f
AT,1146,8,AT1146.8,T1146.8,0,18,0,0,0,0,0,0,0,420fed736bfe
AT,1146,9,AT1146.9,T1146.9,0,20,0,0,0,0,0,0,0,f3cd2f85ad5d
AT,1146,10,AT1146.10,T1146.10,0,7,0,0,0,0,0,0,0,879c99c72bdd
AT,1146,11,AT1146.11,T1146.11,0,17,0,0,0,0,0,0,0,c44fa22c6170
AT,1146,12,AT1146.12,T1146.12,0,22,0,0,0,0,0,0,0,60d3b7ef14c3
AT,1147,0,AT1147.0,T1147.0,1,13,0,0,0,0,0,0,0,bdedc4d7e963
AT,1147,1,AT1147.1,T1147.1,0,18,0,0,0,0,0,0,0,fafd81c7d94e
AT,1147,2,AT1147.2,T1147.2,0,29,0,0,0,0,0,0,0,d4745ad45006
AT,1147,3,AT1147.3,T1147.3,0,9,0,0,0,0,0,0,0,c4dbfac42f84
AT,1147,4,AT1147.4,T1147.4,0,8,0,0,0,0,0,0,0,6cb26014c0c7
AT,1148,0,AT1148.0,T1148.0,1,12,0,0,0,0,0,0,0,2390ecd076fc
AT,1148,1,AT1148.1,T1148.1,0,84,0,0,0,0,0,0,0,ca80805a25e8
AT,1148,2,AT1148.2,T1148.2,0,14,0,0,0,0,0,0,0,291b0b08ad5e
AT,1148,3,AT1148.3,T1148.3,0,14,0,0,0,0,0,0,0,aafc61a93849
AT,1148,4,AT1148.4,T1148.4,0,6,0,0,0,0,0,0,0,c8ff536689fe
AT,1148,5,AT1148.5,T1148.5,0,15,0,0,0,0,0,0,0,4ed76f5d0aab
AT,1148,6,AT1148.6,T1148.6,0,16,0,0,0,0,0,0,0,6fa3499ba0fd
AT,1148,7,AT1148.7,T1148.7,0,11,0,1,0,0,0,0,0,f70885606cf2
AT,1149,0,AT1149.0,T1149.0,1,12,0,0,0,0,0,0,0,be365b0cafc7
AT,1149,1,AT1149.1,T1149.1,0,29,0,0,0,0,0,0,0,cdc38b862581
AT,1149,2,AT1149.2,T1149.2,0,8,0,0,0,0,0,0,0,890636d9751f
AT,1149,3,AT1149.3,T1149.3,0,16,0,0,0,0,0,0,0,9410cdbe8ade
AT,1149,4,AT1149.4,T1149.4,0,35,0,0,0,0,0,0,0,1b617e8cef59
AT,1149,5,AT1149.5,T1149.5,0,6,0,0,0,0,0,0,0,4cc595679af1
AT,1149,6,AT1149.6,T1149.6,0,35,0,0,0,0,0,0,0,631f497e3cd8
AT,1149,7,AT1149.7,T1149.7,0,21,0,0,0,0,0,0,0,21500896652c
AT,1150,0,AT1150.0,T1150.0,1,12,0,0,0,0,0,0,0,da6413eb96dc
