jd_tt,year,month,day,date_julian_cal,weekday,kind,umbral_mag,penumbral_mag,beta_deg,delta_t_s,umbral_duration_h,irish_site,moon_alt_deg,frac_umbral_visible,visible_from_ireland
1882244.90726,441,4,22,0441-04-22,2,total,1.6867,2.7808,0.0705,6146.0,3.93,,-90.0,0.0,False
1882421.81319,441,10,16,0441-10-16,4,total,1.6878,2.6746,0.109,6146.0,3.51,Clonmacnoise,25.7,0.68,True
1882598.93042,442,4,11,0442-04-11,6,partial umbral,0.3254,1.4102,0.7493,6137.0,2.22,,-90.0,0.0,False
1882776.42149,442,10,5,0442-10-05,1,partial umbral,0.3657,1.3848,0.808,6137.0,2.16,Clonmacnoise,30.9,1.0,True
1882923.69912,443,3,2,0443-03-02,2,penumbral,-0.3052,0.7107,1.1656,6128.0,0.0,,,0.0,False
1882953.1615,443,3,31,0443-03-31,3,penumbral,-0.9207,0.1158,1.4481,6128.0,0.0,,,0.0,False
1883101.17009,443,8,26,0443-08-26,4,penumbral,-0.4928,0.5966,1.1567,6128.0,0.0,,,0.0,False
1883278.30873,444,2,19,0444-02-19,6,total,1.0628,2.0447,0.458,6118.0,3.18,Iona,12.5,0.32,True
1883455.18753,444,8,14,0444-08-14,1,partial umbral,0.8152,1.9163,0.4963,6118.0,3.29,,-90.0,0.0,False
1883632.98153,445,2,8,0445-02-08,4,total,1.4379,2.4299,0.2447,6108.0,3.46,,-90.0,0.0,False
1883809.27873,445,8,3,0445-08-03,5,total,1.4664,2.5295,0.1921,6108.0,3.76,,-90.0,0.0,False
1883987.5227,446,1,29,0446-01-29,2,partial umbral,0.066,1.1083,0.9437,6099.0,0.98,Clonmacnoise,49.1,1.0,True
1884163.66361,446,7,24,0446-07-24,3,partial umbral,0.1431,1.1475,0.9263,6099.0,1.4,Clonmacnoise,15.5,1.0,True
1884312.01367,446,12,19,0446-12-19,4,penumbral,-0.506,0.6186,1.1417,6099.0,0.0,,,0.0,False
1884489.02256,447,6,14,0447-06-14,6,partial umbral,0.3046,1.2639,0.8876,6090.0,1.93,,-90.0,0.0,False
1884665.97307,447,12,8,0447-12-08,1,partial umbral,0.7306,1.8498,0.5376,6090.0,3.13,,-90.0,0.0,False
1884843.70581,448,6,3,0448-06-03,4,total,1.6334,2.6194,0.1358,6080.0,3.59,Clonmacnoise,11.9,0.48,True
1885020.11861,448,11,26,0448-11-26,5,total,1.6311,2.6992,0.1099,6080.0,3.73,,-90.0,0.0,False
