date_julian_cal,year,weekday,type,kind,magnitude,best_site,diagnostic,why,note
0854-02-16,854,5,lunar,partial umbral,0.925,Clonmacnoise,blind,,"Moon 39.4 deg up, 1.0 of umbral phase in a dark sky"
0854-07-28,854,6,solar,partial,0.828,Iona,local-if-recorded,"deep over Ireland, shallow in the Mediterranean",UT 20:25 at Armagh
0854-08-12,854,0,lunar,total,1.143,Clonmacnoise,blind,,"Moon 22.0 deg up, 1.0 of umbral phase in a dark sky"
0856-06-22,856,1,lunar,partial umbral,0.589,Clonmacnoise,blind,,"Moon 11.6 deg up, 1.0 of umbral phase in a dark sky"
0857-12-05,857,0,lunar,total,1.245,Clonmacnoise,blind,,"Moon 59.0 deg up, 1.0 of umbral phase in a dark sky"
0858-11-24,858,4,lunar,partial umbral,0.037,Iona,blind,,"Moon 12.4 deg up, 1.0 of umbral phase in a dark sky"
0860-10-03,860,4,lunar,total,1.107,Clonmacnoise,blind,,"Moon 38.0 deg up, 1.0 of umbral phase in a dark sky"
0861-03-15,861,6,solar,partial,0.71,Iona,blind,,UT 08:28 at Armagh
0861-03-30,861,0,lunar,total,1.27,Clonmacnoise,blind,,"Moon 29.6 deg up, 1.0 of umbral phase in a dark sky"
0861-09-22,861,1,lunar,total,1.239,Clonmacnoise,blind,,"Moon 30.9 deg up, 0.88 of umbral phase in a dark sky"
0863-02-07,863,0,lunar,partial umbral,0.064,Iona,blind,,"Moon 5.1 deg up, 0.12 of umbral phase in a dark sky"
0863-08-03,863,2,lunar,partial umbral,0.212,Clonmacnoise,blind,,"Moon 19.9 deg up, 1.0 of umbral phase in a dark sky"
0863-08-18,863,3,solar,partial,0.68,Clonmacnoise,blind,,UT 05:46 at Armagh
0864-01-27,864,4,lunar,total,1.298,Armagh,blind,,"Moon 29.8 deg up, 0.76 of umbral phase in a dark sky"
0864-07-22,864,,lunar,total,1.5523,-,borrowed-if-recorded,not visible from Ireland; visible from the Mediterranean,below the Irish horizon throughout the umbral phase
0865-01-01,865,1,solar,deep partial,0.999,Armagh,totality-in-ireland,umbral track 31.0 km from the island,UT 14:03 at Armagh
0865-01-15,865,1,lunar,total,1.075,Armagh,blind,,"Moon 28.6 deg up, 0.76 of umbral phase in a dark sky"
